|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
| Index | Title                                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Amount(in rupees) | Price (in rupees) | location | Carpet Area | Status        | Floor           | Transaction  | Furnishing     | facing       | overlooking                  | Society                             | Bathroom | Balcony | Car Parking | Ownership            | Super Area | Dimensions | Plot Area |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     0 | 1 BHK Ready to Occupy Flat for sale in Srushti Siddhi Mangal Murti Complex Bhiwandi | Bhiwandi, Thane has an attractive 1 BHK Flat for sale. The property is ideally located in a strategic location in Srushti Siddhi Mangal Murti Complex township. This flat for resale is a choice property. This apartment ready to move in the Bhiwandi is available for an attractive price of INR 42 Lac. You will find it unfurnished.                                                                                                                                                                             | 42 Lac            |              6000 | thane    | 500 sqft    | Ready to Move | 10 out of 11    | Resale       | Unfurnished    |              |                              | Srushti Siddhi Mangal Murti Complex |        1 |       2 |             |                      |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     1 | 2 BHK Ready to Occupy Flat for sale in Dosti Vihar Pokhran Road                     | One can find this stunning 2 BHK flat for sale in Pokhran Road, Thane. It enjoys an excellent location within the Dosti Vihar. This flat for resale is a choice property. This ready to move flat in Pokhran Road can be availed at a reasonable price of INR 98 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience. The property is strategically placed near prominent places as near singhaniya school which make for the smooth living of residents. | 98 Lac            |             13799 | thane    | 473 sqft    | Ready to Move | 3 out of 22     | Resale       | Semi-Furnished | East         | Garden/Park                  | Dosti Vihar                         |        2 |         | 1 Open      | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     2 | 2 BHK Ready to Occupy Flat for sale in Sunrise by Kalpataru Kolshet Road            | Up for immediate sale is a 2 BHK apartment in Kolshet Road, Thane. Don't miss this bargain flat for sale. Situated in the Sunrise By Kalpataru township, it has a prime location. This flat for resale has a desirable location. You can buy this ready to move flat in Kolshet Road at a reasonable price of INR 1.40 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Landmarks near the apartment include pokhran road no 2.                           | 1.40 Cr           |             17500 | thane    | 779 sqft    | Ready to Move | 10 out of 29    | Resale       | Unfurnished    | East         | Garden/Park                  | Sunrise by Kalpataru                |        2 |         | 1 Covered   | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     3 | 1 BHK Ready to Occupy Flat for sale Kasheli                                         | This beautiful 1 BHK Flat is available for sale in Kasheli, Thane. This flat for resale has a desirable location. This ready to move flat is offered at an economical price of INR 25 Lac. You will find it unfurnished.                                                                                                                                                                                                                                                                                              | 25 Lac            |                   | thane    | 530 sqft    | Ready to Move | 1 out of 3      | Resale       | Unfurnished    |              |                              |                                     |        1 |       1 |             |                      |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     4 | 2 BHK Ready to Occupy Flat for sale in TenX Habitat Raymond Realty Pokhran Road     | This lovely 2 BHK Flat in Pokhran Road, Thane is up for sale. This flat is situated in the Tenx Habitat Raymond Realty township and is equipped with premium facilities. This flat is an attractive property for resale. You can buy this ready to move flat in Pokhran Road at a reasonable price of INR 1.60 Cr. You will find it unfurnished. Some of the landmarks in the vicinity include pokhran road 2.                                                                                                        | 1.60 Cr           |             18824 | thane    | 635 sqft    | Ready to Move | 20 out of 42    | Resale       | Unfurnished    | West         | Garden/Park, Main Road       | TenX Habitat Raymond Realty         |        2 |         | 1 Covered   | Co-operative Society |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     5 | 1 BHK Ready to Occupy Flat for sale in Virat Aangan Titwala                         | Creatively planned and constructed is a 1 BHK flat for sale in Titwala, Thane. It is housed in the well-planned Virat Aangan township in an advantageous location. This flat is available as a resale property. You can buy this ready to move flat in Titwala at a reasonable price of INR 45 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.                                                                                              | 45 Lac            |              6618 | thane    |             | Ready to Move | 2 out of 7      | Resale       | Unfurnished    | East         | Garden/Park, Main Road       | Virat Aangan                        |        1 |       1 |             | Co-operative Society | 680 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     6 | 1 BHK Ready to Occupy Flat for sale Mumbra                                          | This magnificent 1 BHK Flat is available for sale in Mumbra, Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Located in Mumbra, this ready to move apartment is sold at a fair selling price of INR 16.5 Lac. The spacious apartment is unfurnished.                                                                                                                                                                                                         | 16.5 Lac          |              2538 | thane    | 550 sqft    | Ready to Move | 4 out of 5      | Resale       | Unfurnished    |              |                              |                                     |        1 |         |             |                      |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     7 | 1 BHK Ready to Occupy Flat for sale Kalwa                                           | Creatively planned and constructed is a 1 BHK flat for sale in Kalwa, Thane. This flat is an attractive property for resale. This ready to move flat located in Kalwa is available for purchase at a fair price of INR 60 Lac. This furnished flat is strategically designed with all the amenities to enhance the living experience.                                                                                                                                                                                 | 60 Lac            |             10435 | thane    |             | Ready to Move | Ground out of 7 | Resale       | Furnished      |              |                              |                                     |        1 |         |             |                      | 575 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     8 | 1 BHK Ready to Occupy Flat for sale Kalwa                                           | Discover this immaculate 1 BHK flat for sale at the pristine Kalwa in Thane. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 60 Lac. This contemporary apartment is furnished. Some of the landmarks in the vicinity include the property is a 1 bhk flat located at manisha nagar heart of thane.::::centralized location near thane and new mumbai. near swimming pool,hotel, collage and school, market,hospital.                              | 60 Lac            |             10000 | thane    |             | Ready to Move | Ground out of 2 | Resale       | Furnished      |              |                              |                                     |        1 |         |             | Co-operative Society | 600 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|     9 | 3 BHK Ready to Occupy Flat for sale in Pride Palms Kolshet                          | One can find this stunning 3 BHK flat for sale in Kolshet, Thane. Ideally situated in the Pride Palms township it enjoys a prime location. This flat for resale is the perfect property for you! This ready to move flat located in Kolshet is available for purchase at a fair price of INR 1.60 Cr. The spacious apartment is unfurnished. This 3 BHK flat boasts of being in close proximity to significant landmarks like kalpataru that enhance the overall living experience.                                   | 1.60 Cr           |             11150 | thane    | 900 sqft    | Ready to Move | 3 out of 27     | Resale       | Unfurnished    | East         | Garden/Park                  | Pride Palms                         |        3 |       1 | 1 Covered   | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    10 | 3 BHK Ready to Occupy Flat for sale in Cosmos Lounge Manpada Thane West             | Up for immediate sale is a 3 BHK apartment in Manpada Thane West, Thane. Don't miss this bargain flat for sale. It is in a prime location within the Cosmos Lounge. Invest your valuable money in this flat that is for resale. This ready to move flat in Manpada Thane West can be taken at a very economical pricing of INR 1.40 Cr. You will find it semi-furnished. Some nearby landmarks are manpada.                                                                                                           | 1.40 Cr           |             12174 | thane    | 950 sqft    | Ready to Move | 6 out of 20     | Resale       | Semi-Furnished |              | Main Road                    | Cosmos Lounge                       |        2 |         | 1 Open      | Co-operative Society |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    11 | 2 BHK Ready to Occupy Flat for sale in Regency Heights Kolshet Road                 | 2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)                                                                                                                                                                                                                                                                                                                                                                                                                            | 1.36 Cr           |             11674 | thane    |             | Ready to Move | 16 out of 24    | Resale       | Semi-Furnished |              |                              | Regency Heights                     |        2 |         |             |                      | 1165 sqft  |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    12 | 2 BHK Ready to Occupy Flat for sale in Regency Heights Kolshet Road                 | 2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)                                                                                                                                                                                                                                                                                                                                                                                                                            | 1.35 Cr           |             15995 | thane    |             | Ready to Move | 8 out of 20     | Resale       | Semi-Furnished |              |                              | Regency Heights                     |        2 |         |             |                      | 844 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    13 | 4 BHK Ready to Occupy Flat for sale Hiranandani Estate                              | Creatively planned and constructed is a 4 BHK flat for sale in Hiranandani Estate, Thane. This flat is an attractive property for resale. This ready to move flat in Hiranandani Estate comes at an affordable price of INR 4.25 Cr. It is a semi-furnished apartment. The property is constructed with proximity to major landmarks like near hiranandani estate.                                                                                                                                                    | 4.25 Cr           |             17526 | thane    | 1820 sqft   | Ready to Move | 18 out of 27    | Resale       | Semi-Furnished | East         | Garden/Park                  |                                     |        4 |       1 | 2 Covered   | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    14 | 1 BHK Ready to Occupy Flat for sale Rabodi                                          | Discover this immaculate 1 BHK flat for sale at the pristine Rabodi in Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Rabodi is available at a reasonable price of INR 75 Lac. The spacious apartment is furnished.                                                                                                                                                                                             | 75 Lac            |             11538 | thane    |             | Ready to Move | 2 out of 3      | Resale       | Furnished      |              |                              |                                     |        1 |         |             |                      | 650 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    15 | 2 BHK Ready to Occupy Flat for sale in Puraniks Tokyo Bay Kasarvadavali             | Kasarvadavali, Thane has an appealing 2 BHK flat for sale with various amenities. It is housed in the well-planned Puraniks Tokyo Bay township in an advantageous location. This is a desirable apartment for sale. This apartment in one of the significant areas of Kasarvadavali is ready to move, and can be purchased at the best price of INR 90 Lac. The spacious apartment is unfurnished. Some of the landmarks in the vicinity include its near to d mart kavesar.                                          | 90 Lac            |             10000 | thane    | 675 sqft    | Ready to Move | 10 out of 16    | New Property | Unfurnished    | North - East | Garden/Park, Main Road       | Puraniks Tokyo Bay                  |        2 |       1 | 1 Covered   | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    16 | 1 BHK Ready to Occupy Flat for sale in Green Woods Shilphata                        | Have a look at this immaculate 1 BHK flat for sale in Shilphata, Thane. Situated in the Green Woods township, it has a prime location. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Shilphata can be taken at a very economical pricing of INR 37 Lac. The spacious apartment is unfurnished. Landmarks near the apartment include om public school.                                                                                    | 37 Lac            |              5736 | thane    | 647 sqft    | Ready to Move | 5 out of 7      | New Property | Unfurnished    | East         | Garden/Park                  | Green Woods                         |        1 |       2 |             | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    17 | 1 BHK Ready to Occupy Flat for sale Dombivli West                                   | This magnificent 1 BHK Flat is available for sale in Dombivli West, Thane. This flat for resale has a desirable location. The ready to move flat in Dombivli West is all ready for sale at a low-priced budget of INR 35 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.                                                                                                                                                                                           | 35 Lac            |              6481 | thane    |             | Ready to Move | 4 out of 5      | Resale       | Unfurnished    |              |                              |                                     |        1 |         |             |                      | 540 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    18 | 2 BHK Ready to Occupy Flat for sale in Everest World Lavender Kolshet               | Discover this immaculate 2 BHK flat for sale at the pristine Kolshet in Thane. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Everest World Lavender. This flat for resale is a choice property. This ready to move property in Kolshet is readily available within an affordable cost of INR 90 Lac. The spacious apartment is unfurnished. The flat is easily approachable because it is near to upcoming metro within 200 meters.                               | 90 Lac            |             11250 | thane    | 600 sqft    | Ready to Move | 20 out of 28    | Resale       | Unfurnished    | North - East | Pool, Garden/Park, Main Road | Everest World Lavender              |        2 |         | 66 Covered  | Co-operative Society |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    19 | 1 BHK Ready to Occupy Flat for sale Shahad                                          | This lovely 1 BHK Flat in Shahad, Thane is up for sale. This apartment for resale is a great choice. The ready to move flat in the prime area of Shahad is available at a reasonable price of INR 35 Lac. It is a semi-furnished apartment.                                                                                                                                                                                                                                                                           | 35 Lac            |              6731 | thane    |             | Ready to Move | 3 out of 3      | Resale       | Semi-Furnished |              |                              |                                     |        1 |       1 | 1 Open      |                      | 520 sqft   |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
|    20 | 1 BHK Ready to Occupy Flat for sale in Pride Residency Kasarvadavali                | Creatively planned and constructed is a 1 BHK flat for sale in Kasarvadavali, Thane. This flat is situated within the renown township of Pride Residency. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Kasarvadavali is available for a reasonable price of INR 54 Lac. You will find it semi-furnished. Landmarks near the apartment include opp. to prathmesh tower.                                                                                             | 54 Lac            |              8571 | thane    | 430 sqft    | Ready to Move | 3 out of 7      | Resale       | Semi-Furnished | East         | Garden/Park                  | Pride Residency                     |        1 |         | 1 Open      | Freehold             |            |            |           |
|-------|-------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|-------------------|----------|-------------|---------------|-----------------|--------------|----------------|--------------|------------------------------|-------------------------------------|----------|---------|-------------|----------------------|------------|------------|-----------|
